event_id,discipline,category,athlete_id,rank,qualification_rank,qualification_score,semi_final_rank,semi_final_score,final_rank,final_score
1376,speed,women,13342,19,19,8.83,,,,
1376,speed,women,14267,20,20,9.45,,,,
1376,speed,women,14498,21,21,9.73,,,,
1376,speed,men,899,1,3,5.29,,,1,5.29
1376,speed,men,13353,2,5,5.309,,,2,FALL
1376,speed,men,2845,3,8,5.49,,,3,5.29
1376,speed,men,13703,4,7,5.38,,,4,6.47
1376,speed,men,1511,5,1,5.251,,,5,5.44 (5.25)
1376,speed,men,1547,6,2,5.256,,,6,5.28 (5.25)
1376,speed,men,11701,7,4,5.304,,,7,5.39 (5.30)
1376,speed,men,3115,8,6,5.34,,,8,FALL (5.34)
1376,speed,men,1317,9,9,5.57,,,9,5.5
1376,speed,men,865,10,10,5.64,,,10,5.55
1376,speed,men,11603,11,14,5.7,,,11,5.59
1376,speed,men,12393,12,11,5.686,,,12,FALL (5.68)
1376,speed,men,1263,13,12,5.688,,,13,9.34 (5.68)
1376,speed,men,1492,14,13,5.69,,,14,5.93 (5.69)
1376,speed,men,2873,15,16,5.824,,,15,5.72
1376,speed,men,8835,16,15,5.823,,,16,5.98 (5.82)
1376,speed,men,14497,17,17,5.902,,,,
1376,speed,men,1278,18,18,5.907,,,,
1376,speed,men,12743,19,19,6.03,,,,
1376,speed,men,12486,20,20,6.06,,,,
1376,speed,men,11738,21,21,6.09,,,,
1376,speed,men,12398,22,22,6.83,,,,
1376,speed,men,6283,23,23,7.86,,,,
1376,speed,men,11602,24,24,FALL,,,,
1376,speed,men,12294,24,24,FALL,,,,
1396,speed,youth b female,14224,1,4,8.3,,,1,8.85
1396,speed,youth b female,16148,2,3,7.65,,,2,10.21
1396,speed,youth b female,16239,3,10,9.27,,,3,8.73
1396,speed,youth b female,14967,5,1,7.08,,,5,FALL (7.08)
1396,speed,youth b female,16199,6,12,9.308,,,6,8.87
1396,speed,youth b female,16135,7,6,8.93,,,7,13.04 (8.93)
1396,speed,youth b female,16235,8,15,9.4,,,8,12.21 (9.40)
1396,speed,youth b female,14969,9,2,7.4,,,9,12.38 (7.40)
1396,speed,youth b female,15372,10,5,8.71,,,10,8.93 (8.71)
1396,speed,youth b female,16217,12,8,9.2,,,12,FALSE START (9.20)
1396,speed,youth b female,14661,13,14,9.39,,,13,9.26
1396,speed,youth b female,16237,14,11,9.301,,,14,FALSE START (9.30)
1396,speed,youth b female,15063,16,16,10.27,,,16,15.07 (10.27)
1396,speed,youth b female,16290,17,17,10.63,,,,
1396,speed,youth b female,16223,20,20,11.17,,,,
1396,speed,youth b female,15916,21,21,11.28,,,,
1396,speed,youth b female,16136,22,22,11.59,,,,
1396,speed,youth b female,16019,23,23,11.75,,,,
1396,speed,youth b female,16216,29,29,FALSE START,,,,
1396,lead,youth b female,16195,1,2,2.74,1,48+,1,TOP
1396,lead,youth b female,16197,7,10,10.61,5,46+,7,42+
1396,lead,youth b female,16192,12,15,13.47,12,36+,,
1396,lead,youth b female,16194,13,14,13.36,13,35+,,
1396,lead,youth b female,15030,14,17,15.73,14,35+,,
1396,lead,youth b female,16118,16,13,12.37,16,33+,,
